#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
482500,-140947.096538,310.19099959,370
485000,-141036.464049,312.886420872,370
487500,-140856.269903,315.622975123,370
490000,-141371.796614,309.910942813,370
492500,-141110.326134,312.620648901,369
495000,-140209.098025,312.835523487,369
497500,-141295.488288,314.195511574,369
500000,-140674.385113,316.642481478,369
502500,-140890.157872,315.464703322,369
505000,-141359.295823,316.162151505,369
507500,-140329.800155,314.990813021,369
510000,-140313.057405,313.16880372,369
512500,-141067.785226,310.6614017,369
515000,-140266.700307,314.572537001,369
517500,-140713.904578,316.137752109,369
520000,-140802.239077,310.236650879,369
522500,-140227.56662,316.412995035,369
525000,-140652.527625,316.761537558,369
527500,-141233.539628,310.802683175,369
530000,-140155.370863,315.60696648,369
532500,-141158.177506,315.844508605,369
535000,-140494.959936,313.972581447,369
537500,-141099.664075,316.412149623,369
540000,-140531.509893,313.887891063,369
542500,-140768.657151,314.494697403,369
545000,-140755.813074,321.026601938,369
547500,-140470.192188,315.165094884,369
550000,-140694.944508,314.396966976,369
552500,-140086.967348,313.811204682,369
555000,-141307.431354,313.359186938,369
557500,-141197.593696,316.756040438,369
560000,-140404.710341,317.34427021,369
562500,-139209.87111,315.344974223,369
565000,-140659.075213,309.874488631,369
567500,-141232.713952,313.847941387,369
570000,-140619.718536,314.190209818,369
572500,-140282.05188,315.953428094,368
575000,-141289.655664,315.862535242,368
577500,-140022.480399,320.834478407,368
580000,-140186.950825,315.799285185,368
582500,-140752.007293,315.501356754,368
585000,-140842.049585,315.542840297,368
587500,-141719.521672,314.578102699,368
590000,-140350.695242,313.296548206,368
592500,-140002.409161,313.646477289,368
595000,-140829.770125,312.946760197,368
597500,-140890.177512,310.62465355,368
600000,-140875.587945,314.304823225,368
602500,-141030.969256,314.167170377,368
605000,-141389.009757,314.514299485,368
607500,-141673.03394,318.302305919,368
610000,-140948.391857,316.060187618,368
612500,-140969.470834,311.76319344,368
615000,-141128.623156,311.585296974,368
617500,-139977.010789,312.682796658,368
620000,-140771.991948,315.298138435,368
622500,-140489.137452,317.580835864,368
625000,-140227.401436,317.874052048,368
627500,-139890.297135,313.77219692,368
630000,-140490.946203,314.71849753,368
632500,-140388.676104,314.762314987,368
635000,-140789.999499,313.272335154,368
637500,-140338.726295,315.678601597,368
640000,-140119.566239,311.378320354,368
642500,-140970.579376,317.958830739,367
645000,-140599.750852,315.558620303,367
647500,-139999.02769,314.923428931,367
650000,-139801.808228,314.679838034,367
652500,-140101.357404,315.162338421,367
655000,-139944.501574,311.424274329,367
657500,-140362.022649,318.522169682,367
660000,-140157.221115,311.897178355,367
662500,-141105.881217,314.850299031,367
665000,-140539.414918,319.217481972,367
667500,-139721.046394,314.647439208,367
670000,-139985.980114,311.346303175,367
672500,-139327.665481,311.011985964,367
675000,-140333.316361,319.092562253,367
677500,-139795.149128,312.533059219,367
680000,-140741.490664,313.782307365,367
682500,-139976.564703,317.599126154,367
685000,-140521.095853,315.785681235,367
687500,-140065.631398,312.159230209,367
690000,-140252.94193,317.315082378,367
692500,-140717.253446,312.783997016,367
695000,-140547.352343,313.20915209,367
697500,-139926.645923,314.271387565,367
700000,-140758.639553,315.092850997,367
702500,-140740.556288,313.122054463,367
705000,-140232.116734,309.981150025,367
707500,-140251.95819,312.729617735,367
710000,-140059.667178,311.818689007,367
712500,-139811.687805,312.246262169,367
715000,-139924.839531,316.1746298,367
717500,-140371.661488,313.696985228,367
720000,-140376.554729,318.219706092,367
722500,-140427.316353,318.318476974,367
725000,-139434.739815,316.616508792,367
727500,-140373.315131,316.621465569,367
730000,-140554.936361,315.921697774,367
732500,-140287.459425,312.719658273,367
735000,-140178.678474,313.301227381,367
737500,-140073.301053,317.145765675,367
740000,-141462.811981,314.87314891,367
742500,-140930.49195,314.23013018,367
745000,-141609.346853,319.238092001,367
747500,-140450.837667,313.568194083,367
750000,-140370.981422,313.155058459,367
752500,-140603.901948,313.84900935,366
755000,-141032.826386,312.886352416,366
757500,-139960.204567,313.150671785,366
760000,-140972.942905,315.592763564,366
762500,-140295.279237,313.499296328,366
765000,-140350.399288,317.312515348,366
767500,-141213.207661,312.822384143,366
770000,-139467.890922,311.450506719,366
772500,-139944.174174,312.335813166,366
775000,-141029.512178,314.197595116,366
777500,-140626.267912,315.022051795,366
780000,-140926.643866,314.351371535,366
782500,-140473.391379,319.013632533,366
785000,-140593.286512,311.88867344,366
787500,-139506.736487,313.911876663,366
790000,-141081.647684,316.621377095,366
792500,-141167.741874,314.603984318,366
795000,-140533.401625,315.633790068,366
797500,-140871.980183,313.043406137,366
800000,-140558.245054,311.701615007,366
802500,-140850.526514,312.971838181,366
805000,-142234.698446,313.729453319,366
807500,-141166.315672,311.942315425,366
810000,-141448.585548,316.844807248,366
812500,-140479.288898,314.170400409,366
815000,-141508.524043,317.046711972,366
817500,-141907.150813,313.792990566,366
820000,-141148.010483,314.281035296,366
822500,-141065.949363,313.135897238,366
825000,-140142.60989,316.807024322,366
827500,-140702.339998,314.39314236,366
830000,-140759.842335,315.297245827,366
832500,-140568.781313,317.295889444,366
835000,-141321.949547,321.341033373,366
837500,-140744.126786,310.950782833,366
840000,-141021.932079,313.946380961,366
842500,-141018.053834,315.429065634,366
845000,-140325.056696,313.877403928,366
847500,-141198.4724,311.908875465,366
850000,-140785.669614,316.316001299,366
852500,-139894.061665,310.943161755,366
855000,-140106.966966,315.461341243,366
857500,-140020.361947,311.57523202,366
860000,-140947.490469,309.221268635,366
862500,-141554.548261,313.549132303,366
865000,-140265.00216,311.78389269,366
867500,-139966.005634,315.282226735,366
870000,-140456.698505,317.842464942,366
872500,-140050.069651,320.867789383,366
875000,-139874.297398,313.161081383,366
877500,-140682.849848,317.95931188,366
880000,-141179.506466,314.992396528,366
882500,-140575.566629,310.858740536,366
885000,-142200.19234,313.513442925,366
887500,-140901.503216,313.538057692,366
890000,-140049.305864,313.988352206,366
892500,-140053.037617,314.847267782,365
895000,-141164.994861,313.404665833,366
897500,-141306.104641,313.474494512,366
900000,-141475.309272,313.413972778,366
902500,-140491.738298,311.537210906,365
905000,-140674.576547,308.839422917,365
907500,-140329.805686,311.691588466,365
910000,-140048.483523,315.736130179,365
912500,-140553.598545,315.230733133,365
915000,-140726.687257,310.95901154,365
917500,-141053.473993,314.128535647,365
920000,-141716.884165,313.190806778,365
922500,-140697.073675,318.681947098,365
925000,-140500.718739,312.441233081,365
927500,-140659.611209,312.971675125,365
930000,-140851.187776,313.622115267,365
932500,-141499.873872,312.221001907,365
935000,-142121.895701,315.443264702,365
937500,-141391.169822,312.5654283,365
940000,-140675.980067,311.858449304,365
942500,-140322.852319,313.618164412,365
945000,-140764.288268,313.074789661,365
947500,-139894.039808,315.167158503,365
950000,-141001.703784,313.938741044,365
952500,-140818.461935,319.422212867,365
955000,-140769.653083,315.077598851,365
957500,-140361.683843,315.209978253,365
960000,-140296.52762,314.986241811,365
962500,-141270.846365,315.584083714,365
965000,-139569.791883,311.407945554,365
967500,-141779.495714,316.207501109,365
970000,-140015.789676,315.120196585,365
972500,-140168.03335,316.15768515,365
975000,-141039.553502,315.280068918,365
977500,-140105.226932,314.800084886,365
980000,-140704.472137,314.256332151,365
982500,-140688.440866,315.431929948,365
985000,-141412.556806,312.691114635,365
987500,-140896.078255,310.501774679,365
990000,-140611.358857,314.2660989,365
992500,-140666.608566,315.696117403,365
995000,-140390.408063,314.015368815,365
997500,-140673.704,312.714806532,365
1000000,-140638.28365,316.58474923,365
1002500,-139869.762133,316.089784656,365
1005000,-140465.203015,314.684689062,365
1007500,-141347.129022,315.007504617,365
1010000,-140199.059997,315.283790988,365
1012500,-140264.260423,314.20883346,365
1015000,-141135.222978,315.400919128,365
1017500,-140800.552292,310.123078465,365
1020000,-141179.976767,314.337252079,365
1022500,-140666.370067,316.02681029,365
1025000,-140438.707462,315.907022321,365
1027500,-140789.027629,315.220159851,365
1030000,-139891.521792,311.460947803,365
1032500,-140818.507159,317.044399818,365
1035000,-140470.852752,310.137317219,365
1037500,-140496.125723,310.848039118,365
1040000,-140370.306605,316.50972554,365
1042500,-140997.094309,312.483806474,365
1045000,-141127.710509,315.359187635,365
1047500,-140694.080077,311.843145248,365
1050000,-141092.037059,311.048517457,365
1052500,-140457.114148,311.701238923,365
1055000,-142128.179279,318.268044111,365
1057500,-141215.882151,314.199083737,365
1060000,-141464.994368,311.912334014,365
1062500,-141698.963461,314.361786365,365
1065000,-141294.244439,317.283745287,365
1067500,-141112.108414,312.106531085,365
1070000,-139967.712034,316.517071645,365
1072500,-141230.738425,313.883580696,365
1075000,-140934.257096,313.904471639,365
1077500,-141370.191275,312.510676938,365
1080000,-140666.022703,314.390514444,365
1082500,-140202.076856,314.444309581,365
1085000,-140748.613284,314.1870231,365
1087500,-140525.118995,314.701156891,365
1090000,-140925.002393,318.169655289,365
1092500,-140120.842129,313.533303581,365
1095000,-140301.33533,319.011392717,365
1097500,-140680.275573,312.895882965,365
1100000,-139614.246695,313.576147411,365
1102500,-140295.149659,316.173291304,365
1105000,-140280.240995,312.282301893,365
1107500,-140234.778645,310.352681232,365
1110000,-140987.049931,312.384460473,365
1112500,-141023.320153,316.005358237,365
1115000,-140776.38955,313.188419454,365
1117500,-141518.190573,311.703931183,365
1120000,-140048.802454,314.575441482,365
1122500,-140055.47839,310.6847313,365
1125000,-140590.132099,318.772332318,365
1127500,-140008.972324,316.185182679,365
1130000,-140746.300182,311.938289863,365
1132500,-140609.816333,310.896903977,365
1135000,-141600.420737,315.145741643,365
1137500,-140562.710434,315.211493629,365
1140000,-141342.35466,317.528416374,365
1142500,-141056.474851,316.657207072,365
1145000,-141110.387396,314.577573474,365
1147500,-139839.944808,308.772674512,365
1150000,-140761.217707,313.911262193,365
1152500,-140586.569745,319.748681506,365
1155000,-140254.318412,315.485450357,365
1157500,-141113.058578,316.365826118,365
1160000,-139664.416825,315.511772735,365
1162500,-140073.525544,314.658102248,365
1165000,-140672.219244,315.31376434,365
1167500,-140723.995767,313.265831846,365
1170000,-139680.011237,317.040318139,365
1172500,-140508.481957,313.029215611,365
1175000,-139682.385289,311.797823818,365
1177500,-139699.305272,312.866782089,365
1180000,-140198.670061,318.948958949,365
1182500,-140667.833326,317.019276227,365
1185000,-139815.687103,312.802603257,365
1187500,-140249.590336,317.051717729,365
1190000,-140515.920148,311.358709264,365
1192500,-140229.042347,314.906396774,365
1195000,-140339.556478,310.870460549,365
1197500,-140809.35349,315.164291486,365
1200000,-140602.920453,311.673471409,365
1202500,-139276.070435,315.599779637,365
1205000,-139331.292549,313.698868397,365
1207500,-140328.581635,316.963485494,365
1210000,-141456.337352,311.72452411,365
1212500,-140787.471976,312.62814121,365
1215000,-139898.220617,314.842403527,365
1217500,-140635.152196,314.875927136,365
1220000,-140479.441689,318.952027449,365
1222500,-139948.95683,312.298260698,365
1225000,-140944.170094,315.898227585,365
1227500,-140010.381461,313.438724923,365
1230000,-140000.329763,313.610118108,365
1232500,-140553.733848,313.193978561,365
1235000,-139628.79181,318.497419248,365
1237500,-140903.615497,314.643808413,364
1240000,-139973.731591,308.236058479,365
1242500,-140345.940324,314.755190189,364
1245000,-140295.004312,315.952440754,364
1247500,-139698.726954,314.844483284,364
1250000,-140558.226257,311.807443238,365
1252500,-140041.949304,312.875138144,364
1255000,-139712.868389,313.249504404,364
1257500,-139350.985233,315.280056573,364
1260000,-140398.859105,314.157566402,364
1262500,-140190.108407,317.250326663,364
1265000,-140092.164851,314.903374809,364
1267500,-140417.204564,313.150191055,364
1270000,-140643.02284,314.500047602,364
1272500,-140228.208812,313.86643889,364
1275000,-141017.910029,310.287658641,364
1277500,-140245.557852,317.57567727,364
1280000,-139640.955309,316.536539785,364
1282500,-139875.630895,313.600779617,364
1285000,-140517.310447,314.492198915,364
1287500,-141369.619254,312.197001041,364
1290000,-140685.093162,316.024889933,364
1292500,-140452.337458,315.187858877,364
1295000,-140691.665486,317.586362139,364
1297500,-140700.006452,315.831227351,364
1300000,-139914.951428,318.543567593,364
1302500,-140877.58062,315.768324294,364
1305000,-141275.521293,315.488449207,364
1307500,-141184.402902,315.199213868,364
1310000,-140519.993623,312.579265031,364
1312500,-141377.811626,318.089000286,364
1315000,-141045.3485,312.785673324,364
1317500,-141041.310957,316.018718536,364
1320000,-141010.974498,314.925929463,364
1322500,-141152.922674,312.716987694,364
1325000,-140892.825941,317.703745164,364
1327500,-140929.788615,314.045715757,364
1330000,-141284.333456,312.928069137,364
1332500,-140991.755621,313.133461669,364
1335000,-140840.22245,313.470941734,364
1337500,-141132.192585,312.920776371,364
1340000,-140750.506977,320.526891065,364
1342500,-140954.191045,310.16017784,364
1345000,-140519.136977,315.191174941,364
1347500,-140128.604106,316.007321471,364
1350000,-140554.03499,312.125059778,364
1352500,-140402.882725,311.974077044,364
1355000,-140650.584524,315.092125546,364
1357500,-140396.440079,310.829083575,364
1360000,-140135.087815,314.311870753,364
1362500,-141338.742313,319.254023831,364
1365000,-140466.807644,315.366383356,364
1367500,-140507.101065,311.875548554,364
1370000,-140064.071404,311.935066701,364
1372500,-140230.936672,312.791791767,364
1375000,-141167.463728,311.796757182,364
1377500,-140568.800696,314.389684286,364
1380000,-140189.468213,313.012345868,364
1382500,-140608.646418,314.666408815,364
1385000,-140522.240249,316.970674068,364
1387500,-141114.249101,314.15636507,364
1390000,-140994.376411,318.364356441,364
1392500,-140829.582922,314.157605942,364
1395000,-139042.865525,313.036647336,364
1397500,-140366.531488,312.417067157,364
1400000,-140231.046873,315.881543403,364
1402500,-140252.99428,313.238864671,364
1405000,-140440.499734,314.446139165,364
1407500,-139187.311868,315.090775421,364
1410000,-140928.236176,314.291094639,364
1412500,-140672.074955,311.718035587,364
1415000,-139996.169545,315.324799377,364
1417500,-140078.781185,311.804363234,364
1420000,-140319.738649,313.738765473,364
1422500,-141467.096995,312.542213271,364
1425000,-140752.111554,317.828904242,364
1427500,-140758.154463,315.594126678,364
1430000,-139215.084815,317.188056587,364
1432500,-140564.966815,314.840763937,364
1435000,-140007.38468,313.936322348,364
1437500,-141067.564057,315.166286485,364
1440000,-140316.387901,318.346857931,364
1442500,-140443.329359,315.29265254,364
1445000,-140604.265131,314.339043387,364
1447500,-140532.022261,312.506620646,364
1450000,-140835.240568,311.279856635,364
1452500,-140712.881564,310.101592766,364
1455000,-140534.195379,313.568993388,364
1457500,-139524.071462,314.607796261,364
1460000,-139814.632543,313.070618411,364
1462500,-140556.843802,317.141188316,364
1465000,-140570.940584,310.76178125,364
1467500,-139937.911559,312.125505728,364
1470000,-139357.872721,314.472856019,364
1472500,-139862.374375,316.824571092,364
1475000,-140484.259654,311.793476973,364
1477500,-140352.95908,314.211007437,364
1480000,-140388.732126,314.403944068,364
1482500,-140651.314654,314.051424784,364
1485000,-139991.477626,313.079746517,364
1487500,-140565.929343,310.864801258,364
1490000,-141234.261212,316.348418651,364
1492500,-140460.598933,316.435383657,364
1495000,-140533.444618,315.607058307,364
1497500,-140467.33149,315.667254672,364
1500000,-140911.717741,317.640485607,364
1502500,-141184.480235,314.01263507,364
1505000,-141293.518239,308.819829871,364
1507500,-142011.374661,315.681212064,364
1510000,-140995.034343,315.450478529,364
1512500,-141508.716756,313.244043586,364
1515000,-142076.982143,313.226018678,364
1517500,-140540.126176,314.092301585,364
1520000,-141848.89572,321.66987101,364
1522500,-140249.880209,317.424334996,364
1525000,-141456.074058,313.109261517,364
1527500,-140211.462176,316.379231117,364
1530000,-141320.388101,314.564881721,364
1532500,-140543.056058,313.998638901,364
1535000,-140668.740775,311.236604149,364
1537500,-141160.894476,315.181523362,364
1540000,-141251.866287,317.502526375,364
1542500,-140296.913612,313.722867011,364
1545000,-140798.382707,318.473242291,364
1547500,-141372.18543,318.378903882,364
1550000,-142083.194158,315.096794835,364
1552500,-141553.199782,319.512049977,364
1555000,-140869.717534,317.616652988,364
1557500,-140301.36401,318.110301714,364
1560000,-140735.018964,312.291057869,364
1562500,-140752.670845,315.448032931,364
1565000,-141260.746528,314.459796248,364
1567500,-139582.14062,314.797682471,364
1570000,-139524.755631,315.150914768,364
1572500,-140213.728419,313.081317462,364
1575000,-141452.155823,312.633587154,364
1577500,-141221.868495,312.93076476,364
1580000,-141016.364842,316.595578141,364
1582500,-140832.250124,309.362802257,364
1585000,-140930.585452,312.248275119,364
1587500,-140707.930275,316.209883333,364
1590000,-140327.888753,314.18711579,364
1592500,-140654.174432,311.990150726,364
1595000,-140285.542856,311.311764258,364
1597500,-140455.028321,316.75332103,364
1600000,-141454.370831,318.24219529,364
1602500,-141158.908975,312.339173112,364
1605000,-141038.308689,314.455172673,364
1607500,-141337.879189,313.665780575,364
1610000,-141095.080776,315.676614628,364
1612500,-140024.359359,315.239222411,364
1615000,-140758.83272,316.136431687,364
1617500,-140231.141466,311.796833345,364
1620000,-140530.000917,312.317429087,364
1622500,-140473.308474,313.902611036,364
1625000,-140671.003196,321.012963701,364
1627500,-140768.492267,317.475282389,364
1630000,-141199.481083,307.431483165,364
1632500,-140295.999663,316.08624644,364
1635000,-140419.164009,319.738958216,364
1637500,-140477.550753,311.765977892,364
1640000,-141121.006014,317.742330892,364
1642500,-141118.571903,313.307038079,364
1645000,-141364.520533,311.855740417,364
1647500,-140098.10824,313.922915035,364
1650000,-140101.69315,313.28632351,364
1652500,-140236.377729,315.565698408,364
1655000,-140700.653945,314.592231419,364
1657500,-140609.918405,318.124566521,364
1660000,-140680.366397,315.298057539,364
1662500,-140481.776104,313.81577366,364
1665000,-140434.761896,316.271658054,364
1667500,-141244.389838,315.063766273,364
1670000,-141676.954483,313.383879256,364
1672500,-140957.670169,314.865808357,364
1675000,-141034.220211,314.331553277,364
1677500,-140341.751729,307.298672164,364
1680000,-140552.535111,313.96136766,364
1682500,-140720.494121,318.79035693,364
1685000,-141138.053908,317.795404733,364
1687500,-140736.894313,319.674872119,364
1690000,-140272.540306,317.455875188,364
1692500,-140688.358325,314.654110229,364
1695000,-141479.523651,313.007484082,364
1697500,-140283.70563,315.48231334,364
1700000,-141738.907211,318.445602266,364
1702500,-140853.526647,313.81434477,364
1705000,-140310.764555,313.519285139,364
1707500,-141620.89067,316.282012879,364
1710000,-140809.410645,312.606893487,364
1712500,-140960.709631,313.426465104,364
1715000,-140598.57927,314.647482364,364
1717500,-141405.344067,315.175546938,364
1720000,-140369.13466,314.357043534,364
1722500,-140437.438228,315.674225261,364
1725000,-140690.781329,313.696177066,364
1727500,-140593.081049,311.500529299,364
1730000,-141337.875657,313.133243684,364
1732500,-141048.459647,316.20421817,364
1735000,-141040.594692,314.771795678,364
1737500,-141129.113773,315.708241865,364
1740000,-140860.829932,314.308544665,364
1742500,-141027.43025,315.478772845,364
1745000,-139829.061429,310.875821612,364
1747500,-140439.16899,316.517732741,364
1750000,-140490.775718,312.16359664,364
1752500,-139997.663097,316.976406319,364
1755000,-141307.800013,314.987193142,364
1757500,-140746.760432,311.98687695,364
1760000,-140258.924034,316.432360401,364
1762500,-140989.526143,318.176860414,364
1765000,-140945.426044,313.83639091,364
1767500,-140975.381811,315.346567364,364
1770000,-140019.051373,308.913564131,364
1772500,-140987.448687,315.842364681,364
1775000,-140661.407348,317.012281354,364
1777500,-141352.261378,315.375257084,364
1780000,-140433.990627,312.588955748,364
1782500,-140895.263189,313.532887624,364
1785000,-140219.414469,313.051868942,364
1787500,-140990.603242,316.140182296,364
1790000,-140024.605853,315.727431596,364
1792500,-139942.938178,315.254348032,364
1795000,-139784.572356,315.309549729,364
1797500,-141463.966746,315.454966687,363
1800000,-141189.594729,317.881247976,364
1802500,-141430.766795,314.861548943,364
1805000,-140951.783259,311.311614142,364
1807500,-140625.528216,316.073100813,363
1810000,-141064.182748,314.337337127,364
1812500,-141090.095234,313.719018111,363
1815000,-140324.189344,314.022787012,364
1817500,-141115.36251,311.568074928,363
1820000,-140375.614094,311.680579471,363
1822500,-141020.036599,313.815808368,363
1825000,-140841.697288,313.86263,363
1827500,-141184.278847,311.336376534,363
1830000,-141120.822956,312.392296841,364
1832500,-141032.162689,316.314624664,363
1835000,-141127.502837,310.811971615,363
1837500,-141257.724235,312.448639942,363
1840000,-140897.382324,317.659748205,363
1842500,-141392.199733,321.545320467,363
1845000,-140833.892173,312.736498484,363
1847500,-140015.84943,309.333574665,363
1850000,-141610.808851,313.251468247,363
1852500,-141044.061828,310.845447868,363
1855000,-140805.25153,312.439266243,363
1857500,-140877.082258,315.650918207,363
1860000,-140965.808692,310.664904565,363
1862500,-140731.609171,311.662898069,363
1865000,-141403.569559,317.606095753,363
1867500,-141770.696648,317.813549288,363
1870000,-141591.706687,311.622140792,363
1872500,-140779.54006,311.016920351,363
1875000,-140640.836753,314.611542562,363
1877500,-140980.981694,310.989218889,363
1880000,-140759.72853,312.215945621,363
1882500,-141515.397412,315.691797707,363
