#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
297500,-136570.426116,316.123441124,377
300000,-135721.968012,313.73422779,377
302500,-136061.545228,316.881751869,377
305000,-135531.914323,316.422914928,377
307500,-136454.864995,311.857239634,376
310000,-134973.445283,313.074538064,376
312500,-137001.382182,313.953269045,376
315000,-135941.855983,317.298079632,376
317500,-136116.534918,314.953048232,376
320000,-136132.253172,313.262168577,376
322500,-136378.167637,317.642823333,376
325000,-137740.170914,317.095447035,376
327500,-137351.397199,312.323631564,375
330000,-136716.468664,312.883222566,375
332500,-136659.814415,314.10070546,375
335000,-136419.773933,314.145659953,375
337500,-135874.624119,309.754364811,375
340000,-136160.96673,314.496531236,374
342500,-135751.135897,313.652581008,374
345000,-136939.18838,315.155131384,374
347500,-136118.075473,316.816839555,374
350000,-136194.297709,312.178036951,374
352500,-136242.637397,313.715705516,374
355000,-136150.895877,312.996659631,373
357500,-136346.104174,316.094823858,373
360000,-135879.196791,311.702935872,373
362500,-137106.133072,314.440219742,373
365000,-135664.743083,315.353617894,373
367500,-136027.75297,320.079879274,373
370000,-135941.916227,317.012048618,373
372500,-136032.157424,313.684571924,373
375000,-136378.738444,312.782872044,373
377500,-136903.624508,317.587936689,372
380000,-136156.782348,313.287329655,372
382500,-136685.906965,314.089734683,372
385000,-135847.427517,315.774701086,372
387500,-136358.886831,311.568302838,372
390000,-135958.258642,315.025946372,372
392500,-136982.635961,311.746176467,372
395000,-136157.296904,315.671792873,372
397500,-135976.015169,314.945222786,372
400000,-135974.231437,319.495176687,372
402500,-135481.991163,319.780900576,372
405000,-135936.229658,312.287995483,372
407500,-136570.15811,315.072696296,371
410000,-135889.851068,313.50217668,371
412500,-136931.40855,311.791720804,371
415000,-136265.399317,314.170291667,371
417500,-135757.498144,313.757009713,371
420000,-135845.222871,316.597572502,371
422500,-135916.859237,315.422207264,371
425000,-135841.951223,314.813359061,371
427500,-135873.049563,313.49908271,371
430000,-136259.292906,314.98712162,371
432500,-136456.12193,312.23298039,371
435000,-136399.70508,313.820208445,371
437500,-135554.758725,316.512605095,371
440000,-136387.32369,314.889717395,371
442500,-136831.087603,311.01223484,370
445000,-136452.83483,312.724812996,370
447500,-135924.858529,311.927549286,370
450000,-136585.074178,316.559700633,370
452500,-135528.759109,314.536887318,370
455000,-137173.123587,312.707276385,370
457500,-135998.603637,315.145093053,370
460000,-136269.559604,315.630555969,370
462500,-135906.02386,312.476033779,370
465000,-136443.421834,312.415802328,370
467500,-136757.336332,315.308130323,370
470000,-135892.260268,313.726283275,369
472500,-136158.02416,312.783098946,369
475000,-135975.240035,314.639680118,369
477500,-135636.174966,314.625410277,369
480000,-136370.689193,318.098024866,369
482500,-136738.306736,311.438834763,369
485000,-136057.061242,314.348293954,369
487500,-134418.919799,314.925323227,369
490000,-135798.639613,314.104601881,369
492500,-135766.557193,317.83782473,369
495000,-135852.342019,310.784015763,369
497500,-135564.855142,313.540742843,369
500000,-136703.031795,316.834552686,369
502500,-136061.274671,315.577701353,369
505000,-136147.720815,311.718229773,369
507500,-135863.093977,314.539067657,369
510000,-135713.746956,311.479602751,369
512500,-136316.667388,313.187185922,369
515000,-135244.043024,312.905033152,369
517500,-136848.412091,315.146621773,369
520000,-136052.099904,313.086188676,369
522500,-134993.118064,313.049651121,369
525000,-136266.464688,317.570489371,369
527500,-136395.534852,313.477373313,368
530000,-135884.06844,310.140238829,368
532500,-135932.706365,313.218969361,368
535000,-136101.465042,312.607412648,368
