#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1505000,-121174.308073,312.558005682,367
1507500,-120216.020024,314.759517424,367
1510000,-119618.547961,314.769063412,367
1512500,-120585.277176,314.915752804,367
1515000,-119683.557116,313.763674689,367
1517500,-120021.974285,316.747281488,367
1520000,-120097.74898,313.198676842,367
1522500,-120619.362367,314.545336575,367
1525000,-120181.66641,314.217391439,367
1527500,-119391.66998,314.489345934,367
1530000,-120234.493866,314.032722797,367
1532500,-120953.870908,310.572435851,367
1535000,-121084.01382,314.928293839,367
1537500,-120335.123824,310.470845097,367
1540000,-119966.751706,312.498893318,367
1542500,-121065.994557,315.425664159,367
1545000,-120775.42493,316.3418132,367
1547500,-120347.415267,311.791998926,367
1550000,-120509.708516,315.952072864,367
1552500,-120099.498993,314.067419637,367
1555000,-120152.914272,319.111109492,367
1557500,-119736.506451,311.133342893,367
1560000,-120468.748212,315.155947244,367
1562500,-120242.423009,314.265285776,367
1565000,-120876.948398,315.840663844,367
1567500,-120739.145967,309.239514045,367
1570000,-120887.009152,316.628632851,367
1572500,-120256.877224,315.633020911,367
1575000,-119567.519639,314.324858442,367
1577500,-119855.77771,309.990690079,367
1580000,-120053.367312,312.091660969,367
1582500,-120648.915106,314.367489892,367
1585000,-119314.677136,316.223220747,367
1587500,-119436.955873,312.890433894,367
1590000,-120381.567899,317.649107607,367
1592500,-120344.168445,312.470927825,367
1595000,-120006.631831,314.641525242,367
1597500,-120036.146336,317.756982198,367
1600000,-120449.370161,314.809012919,367
1602500,-120211.194204,315.393381918,367
1605000,-119306.925431,309.559390529,367
1607500,-120639.01571,313.361636168,367
1610000,-119679.912609,314.767364437,367
1612500,-119959.956384,310.796058964,367
1615000,-120101.226635,311.875628003,367
1617500,-120050.357002,314.928369592,367
1620000,-119773.189073,310.054300544,367
1622500,-120020.467154,311.722617359,367
1625000,-120148.826663,313.455161038,367
1627500,-119678.279319,313.394497005,367
1630000,-119350.0838,317.293166583,367
1632500,-119217.732296,312.91334462,367
1635000,-120417.921665,315.710164327,367
1637500,-120883.358466,313.926262108,367
1640000,-120346.207823,315.213357637,367
1642500,-120347.255148,314.59951249,367
1645000,-119746.852026,312.732949046,367
1647500,-120078.766805,315.925605195,367
1650000,-120678.717689,314.758045011,367
1652500,-120283.748596,312.914446319,367
1655000,-119625.466161,312.76919689,367
1657500,-119433.282128,313.590797881,367
1660000,-120351.41871,313.093665038,367
1662500,-120222.942633,313.688528545,367
1665000,-120041.15472,314.615635793,367
1667500,-119836.333003,314.312229525,367
1670000,-119690.024022,314.362668518,367
1672500,-120674.847564,317.06326166,367
1675000,-120188.077782,314.426717634,367
1677500,-120090.849284,313.868228686,367
1680000,-119632.042071,311.153082209,367
1682500,-119860.651289,319.404676174,367
1685000,-120474.180511,317.7701833,367
1687500,-119107.068158,310.659394234,367
1690000,-120521.948965,313.76981501,367
1692500,-120229.438222,315.630876795,367
1695000,-120129.149069,316.592728135,367
1697500,-119673.317414,316.070968102,367
1700000,-119526.161636,312.196161629,367
1702500,-118867.668581,318.047048129,367
1705000,-118437.291401,311.554045239,367
1707500,-119578.233113,318.642664942,367
1710000,-119372.07376,311.98105329,367
1712500,-119554.481657,314.16265853,367
1715000,-119772.759867,312.975896692,367
1717500,-120681.234329,314.808351575,367
1720000,-119556.739997,318.544361921,367
1722500,-119939.061681,316.133363431,367
1725000,-119966.786837,313.529098976,367
1727500,-119668.707432,317.481668392,367
1730000,-119622.948058,312.012760844,367
1732500,-119629.656509,312.244763477,367
1735000,-119593.286914,308.313823516,367
1737500,-119759.077836,315.645950564,367
1740000,-120262.023932,312.747639967,367
1742500,-120344.788194,311.782402219,367
1745000,-119526.808297,312.21086053,367
1747500,-119566.512147,310.177934979,367
1750000,-119411.147984,313.494847351,367
