-3.68334 307.555
-3.64613 306.504
-3.57172 305.485
-3.49731 311.543
-3.4229 309.874
-3.34849 317.472
-3.27408 317.54
-3.19967 321.751
-3.12526 329.755
-3.05085 328.411
-2.97643 335.719
-2.90202 333.482
-2.82761 335.927
-2.7532 342.493
-2.67879 340.012
-2.60438 347.214
-2.52997 346.613
-2.45556 352.336
-2.38115 363.911
-2.30674 366.666
-2.23233 379.379
-2.15791 381.802
-2.0835 394.444
-2.00909 395.913
-1.93468 400.481
-1.86027 409.655
-1.78586 405.376
-1.71145 407.952
-1.63704 397.125
-1.56263 389.284
-1.48822 385.577
-1.4138 369.821
-1.33939 363.043
-1.26498 346.536
-1.19057 336.295
-1.11616 330.083
-1.04175 316.155
-0.96734 313.077
-0.89293 303.003
-0.81852 301.191
-0.74411 292.594
-0.66969 287.409
-0.59528 287.428
-0.52087 279.4
-0.44646 279.495
-0.37205 272.324
-0.29764 268.387
-0.22323 268.643
-0.14882 262.931
-0.07441 265.366
0 262.047
0.07442 263.44
0.14883 269.486
0.22324 269.693
0.29765 277.17
0.37206 277.416
0.44647 285.562
0.52088 285.706
0.59529 289.269
0.6697 297.46
0.74411 298.679
0.81853 309.091
0.89294 311.467
0.96735 318.319
1.04176 331.385
1.11617 336.668
1.19058 351.921
1.26499 358.653
1.3394 369.134
1.41381 383.325
1.48823 386.321
1.56264 398.613
1.63705 397.719
1.71146 405.564
1.78587 399.737
1.86028 395.882
1.93469 395.43
2.0091 383.719
2.08351 382.066
2.15792 370.334
2.23233 363.181
2.30675 361.935
2.38116 352.082
2.45557 352.325
2.52998 343.467
2.60439 340.734
2.6788 343.47
2.75321 337.248
2.82762 340.765
2.90203 335.086
2.97644 333.667
3.05086 336.75
3.12527 330.05
3.19968 331.872
3.27409 323.854
3.3485 324.237
3.42291 316.004
3.49732 311.893
3.57173 313.188
3.64614 306.456
